Reporting Economy;Product/Sector;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Austria;SI3_AGG - MACH - Chemicals;11869;14136;16900;19291;16996;18781;21862;21351;22695;24226;20352;20012;22810;23923;24511;25707;30429;30870
Austria;SI3_AGG - MACHPH - Pharmaceuticals;4516;5339;6225;7309;7744;8164;9104;9382;10059;11320;9400;9304;11231;11057;12483;13639;14837;14463
Austria;SI3_AGG - MAMT - Machinery and transport equipment;52692;57309;67684;71998;51726;57930;66669;63534;69302;70520;61933;62419;68850;75578;73194;65950;76099;78187
Austria;SI3_AGG - MAMTOF - Office and telecom equipment;7363;7079;6038;8511;6194;7162;7269;8206;10379;11034;9392;9118;10443;10988;9097;8471;9553;9871
Austria;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;2332;1883;2078;2368;1826;1974;1857;1576;2168;2427;1609;1801;1907;2090;1981;1952;2100;1954
Austria;SI3_AGG - MAMTOTTL - Telecommunications equipment;3252;2951;1585;3729;2648;2798;3131;4728;6268;6844;6137;5681;6746;6966;5336;4991;5545;5879
Austria;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;1779;2244;2374;2414;1719;2390;2281;1902;1943;1763;1647;1635;1790;1932;1780;1529;1908;2039
Austria;SI3_AGG - MAMTTE - Transport equipment;21739;23200;26985;26005;18131;20873;24326;22126;24958;24614;21873;22892;24732;27172;28060;23903;27005;27577
Austria;SI3_AGG - MAMTAU - Automotive products;16811;18715;21174;20025;13208;15796;18824;16393;17569;17738;15898;16935;18349;20714;21463;17761;19468;19978
Austria;SI3_AGG - MATE - Textiles;2167;2205;2384;2489;2043;2213;2491;2199;2280;2345;2006;1975;2048;2144;2017;2206;2234;2177
Austria;SI3_AGG - MACL - Clothing;2476;2543;2887;3128;2445;2425;2837;2472;2583;2859;2426;2668;2897;3161;3290;2966;3348;3387
Azerbaijan;SI3_AGG - TO - Total merchandise;7649;13015;21269;30586;21097;26476;34495;32634;31703;28260;16592;13108;15481;20317;19635;13733;22208;38147
Azerbaijan;SI3_AGG - AG - Agricultural products;370;366;543;551;547;604;728;848;893;849;774;542;699;787;899;896;1033;1092
Azerbaijan;SI3_AGG - AGFO - Food;325;320;505;531;525;592;714;829;872;831;761;521;654;701;768;754;809;904
Azerbaijan;SI3_AGG - MI - Fuels and mining products;6796;12231;20302;29099;20102;25345;33170;30996;30276;26627;14248;12147;14053;18057;17996;12159;19909;35596
Azerbaijan;SI3_AGG - MIFU - Fuels;6637;11990;20131;28469;19970;25108;32871;30701;29987;26374;14138;12000;13867;17879;17800;11981;19634;35300
